n_components,accuracy,precision,recall,f1,ari,nmi
1,0.5148619957537155,0.4673684210526316,0.5211267605633803,0.4927857935627081,-0.00017024487430124474,0.0006812335176907422
2,0.5042462845010616,0.4562899786780384,0.5023474178403756,0.4782122905027933,-0.0009820548879448305,4.776792521697381e-05
3,0.5042462845010616,0.4564755838641189,0.5046948356807511,0.4793756967670011,-0.000981908988651245,5.2679914295890925e-05
4,0.529723991507431,0.48232848232848236,0.5446009389671361,0.5115766262403528,0.002480044360967411,0.002764434531380258
5,0.5286624203821656,0.48026315789473684,0.5140845070422535,0.49659863945578225,0.002227312049268691,0.002155771891421546
6,0.5318471337579618,0.48490945674044267,0.5657276995305164,0.5222101841820151,0.002982568127045664,0.00349338252450768
7,0.5095541401273885,0.4642857142857143,0.5492957746478874,0.503225806451613,-0.0007283084994469053,0.0004897113714420299
8,0.524416135881104,0.4759825327510917,0.5117370892018779,0.4932126696832579,0.001326845613784487,0.0015606219827943853
9,0.5371549893842887,0.48878923766816146,0.5117370892018779,0.5,0.004451011931595527,0.0035163386929130203
10,0.505307855626327,0.4579831932773109,0.5117370892018779,0.48337028824833694,-0.0009422084610260618,9.881002600296761e-05
11,0.5254777070063694,0.47835051546391755,0.5446009389671361,0.5093304061470911,0.0015379513517702341,0.0021177887717514663
12,0.5191082802547771,0.47368421052631576,0.5704225352112676,0.5175718849840255,0.000343679913359593,0.0016143412936586562
13,0.505307855626327,0.4642857142857143,0.6103286384976526,0.5273833671399594,-0.001230285350520671,0.0006313246623163618
14,0.5222929936305732,0.47674418604651164,0.5774647887323944,0.5222929936305732,0.0008621715568214526,0.0021363840709366267
15,0.5021231422505308,0.4577603143418468,0.5469483568075117,0.4983957219251337,-0.0010887340627586707,0.00010532989386501448
16,0.529723991507431,0.48330058939096265,0.5774647887323944,0.5262032085561498,0.0024311891807442245,0.0033285451930302216
17,0.5106157112526539,0.4645030425963489,0.5375586854460094,0.49836779107725787,-0.0006205077155814531,0.0004837678036916249
18,0.5329087048832272,0.4854771784232365,0.5492957746478874,0.5154185022026432,0.0032779943414519134,0.003388174102675748
19,0.5063694267515924,0.45788336933045354,0.49765258215962443,0.47694038245219345,-0.0008939934788452805,9.028870507219398e-05
20,0.5276008492569002,0.4808080808080808,0.5586854460093896,0.5168295331161781,0.0019753834598789997,0.0026476716658341967
21,0.5233545647558386,0.4768611670020121,0.5563380281690141,0.5135427952329361,0.0011053282681731643,0.0019836316673284672
22,0.5191082802547771,0.4738878143133462,0.5751173708920188,0.5196182396606573,0.00033085679138958226,0.0016746591603781804
23,0.524416135881104,0.4765957446808511,0.5258215962441315,0.5,0.0013329592498067513,0.0017279685229466743
24,0.5095541401273885,0.46511627906976744,0.5633802816901409,0.5095541401273885,-0.0007624427983707077,0.0005899541542519198
25,0.529723991507431,0.48349514563106794,0.5845070422535211,0.5292242295430393,0.0024133034985332085,0.0034613754675865446
26,0.5138004246284501,0.47192982456140353,0.6314553990610329,0.5401606425702812,-0.0006488695868031518,0.0017691373778744315
27,0.5021231422505308,0.46879535558780844,0.7582159624413145,0.579372197309417,-0.002772589031263504,0.0023862007625576926
28,0.5339702760084926,0.4888507718696398,0.6690140845070423,0.5649157581764124,0.003111006263317448,0.006528928862489355
29,0.5084925690021231,0.4678260869565217,0.6314553990610329,0.5374625374625375,-0.001159891504773778,0.0011353303056491901
30,0.524416135881104,0.47533632286995514,0.49765258215962443,0.4862385321100917,0.0013102510815410904,0.0014041796358091794
