n_components,accuracy,precision,recall,f1,ari,nmi,time
1,0.5258620689655172,0.4765840220385675,0.408983451536643,0.4402035623409669,0.0012876169656764016,0.0008215693451295285,0.04494142532348633
10,0.5258620689655172,0.476056338028169,0.39952718676122934,0.43444730077120824,0.0012350344712761228,0.0007546628771452993,0.10989952087402344
20,0.5258620689655172,0.476056338028169,0.39952718676122934,0.43444730077120824,0.0012350344712761228,0.0007546628771452993,0.10626554489135742
30,0.5269396551724138,0.4776536312849162,0.40425531914893614,0.4379001280409731,0.0014831407737812472,0.0008895642026866404,0.14421319961547852
50,0.5290948275862069,0.48055555555555557,0.408983451536643,0.44189016602809705,0.001980020762456456,0.001151264016237003,0.1319127082824707
61,0.5290948275862069,0.48055555555555557,0.408983451536643,0.44189016602809705,0.001980020762456456,0.001151264016237003,0.20121145248413086
