n_components,accuracy,precision,recall,f1,ari,nmi
1,0.5371549893842887,0.48737373737373735,0.45305164319248825,0.4695863746958637,0.004269590507387117,0.002640074229767347
2,0.5467091295116773,0.49865229110512127,0.43427230046948356,0.46424090338770385,0.007320338630739606,0.004155413153890673
3,0.5063694267515924,0.46060606060606063,0.5352112676056338,0.495114006514658,-0.0009126673374247212,0.0002272761249813339
4,0.5095541401273885,0.46511627906976744,0.5633802816901409,0.5095541401273885,-0.0007624427983707077,0.0005899541542519198
5,0.5191082802547771,0.4669926650366748,0.44835680751173707,0.45748502994011975,0.00026790214805986573,0.000491575573195008
6,0.5403397027600849,0.4909090909090909,0.44366197183098594,0.4660912453760789,0.005193815723822394,0.0030562092805511685
7,0.5382165605095541,0.4883116883116883,0.4413145539906103,0.4636251541307028,0.004525787959048489,0.0026595270322974252
8,0.5329087048832272,0.4824120603015075,0.4507042253521127,0.46601941747572817,0.003088805172523433,0.0019633548339309686
9,0.5159235668789809,0.4734982332155477,0.6291079812206573,0.5403225806451613,-0.00036778296564852776,0.0020233468532410022
10,0.5403397027600849,0.4909090909090909,0.44366197183098594,0.4660912453760789,0.005193815723822394,0.0030562092805511685
11,0.5191082802547771,0.46731234866828086,0.45305164319248825,0.4600715137067938,0.0002853903443379232,0.0005216295385423186
12,0.5424628450106157,0.49318801089918257,0.42488262910798125,0.45649432534678436,0.005774017752504175,0.003181757927037773
13,0.5435244161358811,0.4943181818181818,0.4084507042253521,0.44730077120822626,0.0060184703543369085,0.003157645280986038
14,0.5382165605095541,0.48825065274151436,0.43896713615023475,0.4622991347342398,0.004513161001154854,0.0026287830937515824
15,0.5414012738853503,0.49171270718232046,0.41784037558685444,0.45177664974619286,0.005378776851984745,0.002896263129981201
16,0.5329087048832272,0.4823232323232323,0.44835680751173707,0.46472019464720193,0.0030780503284968735,0.0019357935839556565
17,0.5414012738853503,0.49214659685863876,0.4413145539906103,0.4653465346534653,0.0055223407309359365,0.0032149012979249226
18,0.524416135881104,0.4725,0.44366197183098594,0.4576271186440678,0.0011495176023601822,0.0008929410139301966
19,0.5382165605095541,0.48739495798319327,0.4084507042253521,0.4444444444444445,0.004322556628224687,0.002250548333489502
20,0.5445859872611465,0.4958904109589041,0.42488262910798125,0.45764854614412137,0.006499146096597384,0.003585703181052897
21,0.5403397027600849,0.4908616187989556,0.4413145539906103,0.4647713226205192,0.005181197239436516,0.0030236824435750033
22,0.5403397027600849,0.4907161803713528,0.43427230046948356,0.460772104607721,0.0051415992273184,0.0029276469280490104
23,0.5424628450106157,0.4931506849315068,0.4225352112676056,0.45512010113780027,0.00575879549185378,0.0031498400045486203
24,0.5414012738853503,0.4921052631578947,0.43896713615023475,0.4640198511166253,0.0055092911818014085,0.003181902959320825
25,0.5414012738853503,0.4920212765957447,0.43427230046948356,0.4613466334164589,0.005482321028302633,0.0031166861251558427
26,0.529723991507431,0.47858942065491183,0.4460093896713615,0.4617253948967193,0.0022845949227017124,0.0014913909394147044
27,0.5371549893842887,0.4872448979591837,0.44835680751173707,0.46699266503667486,0.004247234812914493,0.0025778917030201973
28,0.5329087048832272,0.48195876288659795,0.43896713615023475,0.45945945945945943,0.0030321216264693287,0.0018279491313596245
29,0.5509554140127388,0.5043988269794721,0.40375586854460094,0.4485006518904823,0.008732213629022654,0.004634360444443724
30,0.5456475583864119,0.49714285714285716,0.4084507042253521,0.44845360824742264,0.006759577689497401,0.0035659324298084236
