method,accuracy,precision,recall,f1,ari,nmi
Combined Optimal Approach (Train),0.613960113960114,0.6199095022624435,0.4228395061728395,0.5027522935779817,0.05001417306552739,0.03545291578125356
Combined Optimal Approach (Test),0.5165562913907285,0.46601941747572817,0.34532374100719426,0.396694214876033,-0.0025184986143347646,5.1793904167224785e-05
